variable,non_null,coverage,first_year,n_countries
DEPENDENCY_RATIO,560,1.0,1990,16
GDP_PC_PPP,560,1.0,1990,16
FDI,560,1.0,1990,16
EXCHANGE_RATE,560,1.0,1990,16
GDP_GROWTH,560,1.0,1990,16
TRADE_OPENNESS,560,1.0,1990,16
WORLD_EXPORT_GROWTH,560,1.0,1990,16
WORLD_GROWTH,560,1.0,1990,16
WORLD_INFLATION,560,1.0,1990,16
URBAN_SHARE,560,1.0,1990,16
LIFE_EXPECTANCY,560,1.0,1990,16
POPULATION,560,1.0,1990,16
INVESTMENT,555,0.9910714285714286,1990,16
INFLATION,554,0.9892857142857143,1990,16
UNEMPLOYMENT,544,0.9714285714285714,1991,16
RESERVES_MONTHS,540,0.9642857142857143,1990,16
GROSS_SAVINGS,540,0.9642857142857143,1990,16
CURRENT_ACCOUNT,540,0.9642857142857143,1990,16
EXPORT_GROWTH,525,0.9375,1990,15
IMPORT_GROWTH,525,0.9375,1990,15
ELECTRICITY,515,0.9196428571428571,1990,16
MANUF_VA,506,0.9035714285714286,1990,16
CREDIT_PRIVATE,481,0.8589285714285714,1990,16
rgdpo,480,0.8571428571428571,1990,16
pop,480,0.8571428571428571,1990,16
emp,480,0.8571428571428571,1990,16
hc,480,0.8571428571428571,1990,16
rgdpna,480,0.8571428571428571,1990,16
cgdpo,480,0.8571428571428571,1990,16
REVENUE_EX_GRANTS,434,0.775,1990,15
TAX_REVENUE,434,0.775,1990,15
REAL_INTEREST,423,0.7553571428571428,1990,14
labsh,420,0.75,1990,14
ctfp,420,0.75,1990,14
rkna,420,0.75,1990,14
CONTROL_CORRUPTION,416,0.7428571428571429,1996,16
GOV_EFFECTIVENESS,416,0.7428571428571429,1996,16
REG_QUALITY,416,0.7428571428571429,1996,16
POLITICAL_STABILITY,416,0.7428571428571429,1996,16
RULE_OF_LAW,416,0.7428571428571429,1996,16
SCHOOLING_SEC,375,0.6696428571428571,1990,16
RND,346,0.6178571428571429,1996,15
TERMS_OF_TRADE,320,0.5714285714285714,2005,16
HIGH_TECH_EXPORTS,261,0.4660714285714286,2007,16
