scenario,label,year,horizon,median_EPI,p05_EPI,p95_EPI,P_EPI_ge_50,P_EPI_ge_60
Baseline_Status_Quo,Status Quo (Inertial Base),2025,1,22.42,21.08,23.56,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2026,2,23.42,21.64,24.88,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2027,3,24.36,22.29,26.01,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2028,4,25.23,22.99,27.04,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2029,5,26.06,23.71,27.98,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2030,6,26.87,24.4,28.86,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2031,7,27.64,25.08,29.71,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2032,8,28.38,25.72,30.5,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2033,9,29.09,26.41,31.29,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2034,10,29.79,27.07,32.03,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2035,11,30.44,27.7,32.77,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2036,12,31.11,28.31,33.47,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2037,13,31.75,28.91,34.14,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2038,14,32.38,29.55,34.81,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2039,15,33.0,30.12,35.47,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2040,16,33.58,30.72,36.09,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2041,17,34.17,31.25,36.69,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2042,18,34.76,31.85,37.31,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2043,19,35.32,32.36,37.92,0.0,0.0
Baseline_Status_Quo,Status Quo (Inertial Base),2044,20,35.89,32.9,38.51,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2025,1,21.94,19.88,23.66,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2026,2,21.66,19.16,23.41,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2027,3,22.54,19.54,24.79,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2028,4,23.26,19.89,25.79,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2029,5,23.94,20.33,26.66,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2030,6,24.59,20.81,27.47,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2031,7,25.18,21.31,28.19,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2032,8,25.74,21.81,28.84,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2033,9,26.28,22.28,29.51,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2034,10,26.8,22.71,30.18,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2035,11,27.31,23.21,30.74,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2036,12,27.8,23.64,31.32,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2037,13,28.27,24.05,31.87,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2038,14,28.72,24.55,32.44,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2039,15,29.18,24.92,32.95,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2040,16,29.63,25.33,33.46,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2041,17,30.06,25.74,33.97,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2042,18,30.49,26.06,34.44,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2043,19,30.91,26.38,34.87,0.0,0.0
LDC_Tariff_Shock_2026,2026 LDC Graduation (Loss of EU Duty-Free EBA Access),2044,20,31.32,26.8,35.35,0.0,0.0
