iso,year,EPI,dim_K,dim_H,dim_T,dim_I,dim_D,dim_C,dim_G,dim_S,dim_F
SGP,2024,71.36552526833955,0.5646855146236003,0.9324071831119389,0.6697809571043225,0.9254046475025253,0.916860038720882,0.5485648394615368,0.7447962774002943,0.798776081894043,0.4738133409043669
KOR,2024,63.48783635940845,0.6024515819562236,0.9134457319638603,0.4456736651950902,0.7481694134580463,0.7389929733523972,0.7162415375656851,0.2850290132081078,0.7937964981872415,0.5376177485412357
MYS,2024,56.69329305779143,0.46160680226696377,0.647980766773518,0.5823673032303331,0.5438656324579166,0.7522849496463875,0.7265120698315553,0.40492684857566774,0.681279096131427,0.4097853620088062
NLD,2024,54.241256532313685,0.3955888523084055,0.8996245538148222,0.5962220299289657,0.856168050626598,0.47899493913098135,0.15751280876604032,0.371414805423847,0.6967475901993638,0.7417792845339042
VNM,2024,54.171018141774994,0.6331507982142284,0.6155292872854419,0.5449800722987368,0.29124259169068395,0.633121029722528,0.6961405614652548,0.5385142291882339,0.919027730983826,0.45618008244655006
DEU,2024,50.34152341518797,0.4402682896499721,0.8764940854193293,0.5522862793035986,0.7981981335679126,0.3981141387127537,0.3574438868440379,0.20255538406810691,0.7285321670512888,0.27254596953194254
GBR,2024,50.210056207705414,0.38578628226684486,0.9328691598067905,0.5250514222656574,0.7069567308384223,0.42000196308321636,0.17481764121601737,0.19632340823906932,0.6267155725356224,0.8098525034355559
USA,2024,49.58581692022444,0.43920948248593206,0.8598329106021751,0.6475939847923374,0.6626019868360864,0.4923082605268084,0.1756338818604843,0.13719524232231284,0.6626321443782976,0.5283984797823202
JPN,2024,48.86482928050713,0.5563597495156656,0.8958800347209019,0.35160936667536596,0.9159411011052747,0.1678612371418211,0.3786945666145588,0.15604309490334534,0.8238858976070638,0.5295027687609493
THA,2024,48.0107896986751,0.44657256488307523,0.6226973312930673,0.30455547540512534,0.30782820514894665,0.7275654693400493,0.6001633036858217,0.3953433120719036,0.99,0.5658826582702295
CHN,2024,46.74663312303613,0.8053919480548836,0.6187716130148658,0.22530282069308394,0.37202851664682546,0.7035965941337651,0.6059336014286354,0.18641316957023446,0.6024533455386529,0.40853927116946
FRA,2024,45.68027230408858,0.44219115221347927,0.8227759410291011,0.5730140948582356,0.634990007171316,0.31515087631315775,0.1406571685690164,0.21668818107415666,0.3047378090256221,0.7210907535876752
PHL,2024,42.87791953601569,0.46182632494329945,0.5003733337134975,0.5286348821678989,0.23524009262213874,0.5831689972157468,0.5331130279309808,0.21743662731754204,0.855458577279976,0.3215862575104107
IDN,2024,34.197774420053555,0.6358175085319246,0.46770883903528626,0.1400365405583942,0.3041022317746612,0.6503922956956861,0.33187813108291947,0.19934255817061397,0.7390210774124241,0.18528592087756562
IND,2024,31.316367516460552,0.6880885482622264,0.3977350997079648,0.20277011659013375,0.34706269430082165,0.6555597791139589,0.21850885038157136,0.2033795943641045,0.6466339073628287,0.06533928132008866
BGD,2024,21.334503462040313,0.6145279486459778,0.3790217508454522,0.25626244494137634,0.039394765444690526,0.5296973758988108,0.372119425145806,0.019167912609230738,0.7036342485172808,0.07484459656548682
