l2_reg,pooled_rmse,diff_vs_ar1,beats_ar1,dm_h3_stat,dm_h3_p,sig_horizons,pass_prereg
0.01,2.8903,-0.0383,True,-3.142,0.0056,[3],True
0.1,2.8903,-0.0383,True,-3.141,0.0056,[3],True
0.5,2.8903,-0.0383,True,-3.14,0.0057,[3],True
1.0,2.8903,-0.0383,True,-3.139,0.0057,[3],True
2.0,2.8903,-0.0383,True,-3.136,0.0057,[3],True
5.0,2.8903,-0.0383,True,-3.127,0.0058,[3],True
10.0,2.8904,-0.0382,True,-3.113,0.006,[3],True
15.0,2.8905,-0.0382,True,-3.1,0.0062,[3],True
20.0,2.8905,-0.0381,True,-3.087,0.0064,[3],True
30.0,2.8906,-0.038,True,-3.064,0.0067,[3],True
50.0,2.8907,-0.0379,True,-3.025,0.0073,[3],True
100.0,2.891,-0.0377,True,-2.951,0.0085,[3],True
200.0,2.8911,-0.0375,True,-2.862,0.0104,[3],True
