scenario,year,horizon,real_growth_pct,nominal_gdp_usd_b,ppp_gdp_usd_b,gdp_pc_ppp_usd,tax_ratio_pct,tax_revenue_usd_b,exports_usd_b,population_m
Status_Quo,2024,0,5.2,455.0,1460.0,8487,7.6,34.6,55.0,172.5
Status_Quo,2025,1,4.6,487.3,1534.5,8807,7.66,37.3,57.8,174.22
Status_Quo,2026,2,4.5,521.4,1611.2,9158,7.72,40.3,60.6,175.92
Status_Quo,2027,3,4.7,559.0,1695.0,9544,7.78,43.5,63.8,177.59
Status_Quo,2028,4,4.8,599.8,1784.8,9958,7.84,47.0,67.1,179.24
Status_Quo,2029,5,4.6,642.3,1875.8,10372,7.9,50.7,70.5,180.85
Status_Quo,2030,6,4.5,687.3,1969.6,10796,7.96,54.7,74.0,182.43
Status_Quo,2031,7,4.4,734.7,2066.1,11230,8.02,58.9,77.6,183.98
Status_Quo,2032,8,4.3,784.7,2165.3,11673,8.08,63.4,81.3,185.5
Status_Quo,2033,9,4.2,837.3,2267.1,12124,8.14,68.2,85.0,186.99
Status_Quo,2034,10,4.1,892.5,2371.4,12584,8.2,73.2,88.9,188.44
Status_Quo,2035,11,4.0,950.5,2478.1,13053,8.26,78.5,92.8,189.85
Status_Quo,2036,12,4.0,1012.3,2589.6,13542,8.32,84.2,96.9,191.22
Status_Quo,2037,13,3.9,1077.1,2703.5,14040,8.38,90.3,101.0,192.56
Status_Quo,2038,14,3.8,1145.0,2819.8,14545,8.44,96.6,105.3,193.86
Status_Quo,2039,15,3.8,1217.1,2941.0,15073,8.5,103.5,109.7,195.12
Status_Quo,2040,16,3.7,1292.6,3064.5,15608,8.56,110.6,114.1,196.34
Status_Quo,2041,17,3.7,1372.7,3193.3,16167,8.62,118.3,118.8,197.52
Status_Quo,2042,18,3.6,1456.4,3324.2,16733,8.68,126.4,123.5,198.66
Status_Quo,2043,19,3.6,1545.3,3460.5,17324,8.74,135.1,128.4,199.75
Status_Quo,2044,20,3.5,1638.0,3598.9,17923,8.8,144.1,133.3,200.8
Factor_Driven,2024,0,5.5,455.0,1460.0,8487,7.6,34.6,55.0,172.5
Factor_Driven,2025,1,5.6,492.3,1549.1,8891,7.74,38.1,58.4,174.22
Factor_Driven,2026,2,5.8,533.7,1646.7,9360,7.89,42.1,62.1,175.92
Factor_Driven,2027,3,5.9,579.0,1752.0,9865,8.04,46.5,66.1,177.59
Factor_Driven,2028,4,6.0,628.8,1865.9,10410,8.18,51.4,70.5,179.24
Factor_Driven,2029,5,5.8,681.6,1983.5,10967,8.32,56.7,75.0,180.85
Factor_Driven,2030,6,5.7,738.2,2106.4,11546,8.47,62.5,79.7,182.43
Factor_Driven,2031,7,5.6,798.8,2234.9,12147,8.62,68.8,84.6,183.98
Factor_Driven,2032,8,5.5,863.5,2369.0,12771,8.76,75.6,89.7,185.5
Factor_Driven,2033,9,5.4,932.5,2508.8,13417,8.9,83.0,95.1,186.99
Factor_Driven,2034,10,5.2,1005.3,2651.8,14073,9.05,91.0,100.5,188.44
Factor_Driven,2035,11,5.0,1081.7,2797.7,14736,9.2,99.5,106.0,189.85
Factor_Driven,2036,12,4.9,1162.8,2948.7,15420,9.34,108.6,111.8,191.22
Factor_Driven,2037,13,4.8,1248.8,3105.0,16125,9.48,118.5,117.7,192.56
Factor_Driven,2038,14,4.7,1340.0,3266.5,16849,9.63,129.0,123.7,193.86
Factor_Driven,2039,15,4.6,1436.5,3433.1,17594,9.78,140.4,130.0,195.12
Factor_Driven,2040,16,4.5,1538.5,3604.7,18359,9.92,152.6,136.4,196.34
Factor_Driven,2041,17,4.4,1646.2,3781.4,19144,10.06,165.7,143.0,197.52
Factor_Driven,2042,18,4.3,1759.8,3962.9,19948,10.21,179.7,149.8,198.66
Factor_Driven,2043,19,4.2,1879.4,4149.1,20772,10.36,194.6,156.7,199.75
Factor_Driven,2044,20,4.2,2007.2,4344.1,21634,10.5,210.8,164.0,200.8
Integrated_4D_Reform,2024,0,5.8,455.0,1460.0,8487,7.6,34.6,55.0,172.5
Integrated_4D_Reform,2025,1,6.5,497.3,1562.2,8967,7.94,39.5,58.9,174.22
Integrated_4D_Reform,2026,2,7.0,546.1,1679.4,9546,8.29,45.3,63.5,175.92
Integrated_4D_Reform,2027,3,7.2,600.7,1808.7,10184,8.63,51.9,68.5,177.59
Integrated_4D_Reform,2028,4,7.4,661.9,1951.6,10888,8.98,59.4,74.1,179.24
Integrated_4D_Reform,2029,5,7.5,730.1,2107.7,11654,9.32,68.1,80.2,180.85
Integrated_4D_Reform,2030,6,7.4,804.6,2274.2,12466,9.67,77.8,86.7,182.43
Integrated_4D_Reform,2031,7,7.3,885.8,2451.6,13325,10.01,88.7,93.7,183.98
Integrated_4D_Reform,2032,8,7.2,974.4,2640.4,14234,10.36,100.9,101.1,185.5
Integrated_4D_Reform,2033,9,7.1,1070.9,2841.0,15194,10.71,114.6,109.0,186.99
Integrated_4D_Reform,2034,10,7.0,1175.8,3054.1,16208,11.05,129.9,117.4,188.44
Integrated_4D_Reform,2035,11,6.9,1289.9,3280.1,17277,11.39,147.0,126.3,189.85
Integrated_4D_Reform,2036,12,6.8,1413.7,3519.5,18405,11.74,166.0,135.7,191.22
Integrated_4D_Reform,2037,13,6.7,1548.0,3773.0,19593,12.08,187.1,145.7,192.56
Integrated_4D_Reform,2038,14,6.6,1693.5,4040.8,20844,12.43,210.5,156.3,193.86
Integrated_4D_Reform,2039,15,6.5,1851.0,4323.7,22159,12.77,236.5,167.5,195.12
Integrated_4D_Reform,2040,16,6.4,2021.3,4622.0,23541,13.12,265.2,179.3,196.34
Integrated_4D_Reform,2041,17,6.3,2205.3,4936.3,24991,13.46,296.9,191.7,197.52
Integrated_4D_Reform,2042,18,6.2,2403.7,5267.1,26513,13.81,332.0,204.8,198.66
Integrated_4D_Reform,2043,19,6.1,2617.7,5614.7,28109,14.16,370.5,218.5,199.75
Integrated_4D_Reform,2044,20,6.0,2848.0,5979.6,29779,14.5,413.0,233.0,200.8
