scenario,year,horizon,median_EPI,p05_EPI,p95_EPI,P_EPI_ge_60,P_EPI_ge_70,P_EPI_ge_80
Status_Quo,2025,1,22.42,21.07,23.57,0.0,0.0,0.0
Status_Quo,2026,2,23.43,21.64,24.91,0.0,0.0,0.0
Status_Quo,2027,3,24.35,22.31,26.03,0.0,0.0,0.0
Status_Quo,2028,4,25.24,22.97,27.06,0.0,0.0,0.0
Status_Quo,2029,5,26.08,23.67,28.0,0.0,0.0,0.0
Status_Quo,2030,6,26.87,24.4,28.9,0.0,0.0,0.0
Status_Quo,2031,7,27.65,25.08,29.75,0.0,0.0,0.0
Status_Quo,2032,8,28.38,25.79,30.53,0.0,0.0,0.0
Status_Quo,2033,9,29.1,26.47,31.31,0.0,0.0,0.0
Status_Quo,2034,10,29.79,27.1,32.04,0.0,0.0,0.0
Status_Quo,2035,11,30.47,27.71,32.77,0.0,0.0,0.0
Status_Quo,2036,12,31.13,28.34,33.47,0.0,0.0,0.0
Status_Quo,2037,13,31.76,28.98,34.14,0.0,0.0,0.0
Status_Quo,2038,14,32.4,29.58,34.79,0.0,0.0,0.0
Status_Quo,2039,15,33.01,30.17,35.46,0.0,0.0,0.0
Status_Quo,2040,16,33.61,30.73,36.1,0.0,0.0,0.0
Status_Quo,2041,17,34.19,31.3,36.73,0.0,0.0,0.0
Status_Quo,2042,18,34.77,31.87,37.33,0.0,0.0,0.0
Status_Quo,2043,19,35.33,32.39,37.93,0.0,0.0,0.0
Status_Quo,2044,20,35.9,32.92,38.54,0.0,0.0,0.0
Factor_Driven,2025,1,22.84,21.2,24.23,0.0,0.0,0.0
Factor_Driven,2026,2,24.22,22.06,25.97,0.0,0.0,0.0
Factor_Driven,2027,3,25.48,23.05,27.46,0.0,0.0,0.0
Factor_Driven,2028,4,26.66,24.05,28.78,0.0,0.0,0.0
Factor_Driven,2029,5,27.8,25.06,30.04,0.0,0.0,0.0
Factor_Driven,2030,6,28.88,26.04,31.21,0.0,0.0,0.0
Factor_Driven,2031,7,29.93,26.96,32.35,0.0,0.0,0.0
Factor_Driven,2032,8,30.94,27.93,33.41,0.0,0.0,0.0
Factor_Driven,2033,9,31.89,28.84,34.45,0.0,0.0,0.0
Factor_Driven,2034,10,32.83,29.76,35.44,0.0,0.0,0.0
Factor_Driven,2035,11,33.76,30.59,36.42,0.0,0.0,0.0
Factor_Driven,2036,12,34.65,31.43,37.37,0.0,0.0,0.0
Factor_Driven,2037,13,35.53,32.31,38.31,0.0,0.0,0.0
Factor_Driven,2038,14,36.38,33.09,39.25,0.0,0.0,0.0
Factor_Driven,2039,15,37.23,33.89,40.13,0.0,0.0,0.0
Factor_Driven,2040,16,38.04,34.7,41.01,0.0,0.0,0.0
Factor_Driven,2041,17,38.85,35.46,41.86,0.0,0.0,0.0
Factor_Driven,2042,18,39.64,36.23,42.68,0.0,0.0,0.0
Factor_Driven,2043,19,40.41,37.0,43.49,0.0,0.0,0.0
Factor_Driven,2044,20,41.19,37.75,44.31,0.0,0.0,0.0
Integrated_4D_Reform,2025,1,24.41,22.81,25.8,0.0,0.0,0.0
Integrated_4D_Reform,2026,2,27.05,25.1,28.7,0.0,0.0,0.0
Integrated_4D_Reform,2027,3,29.43,27.31,31.26,0.0,0.0,0.0
Integrated_4D_Reform,2028,4,31.63,29.44,33.54,0.0,0.0,0.0
Integrated_4D_Reform,2029,5,33.69,31.43,35.72,0.0,0.0,0.0
Integrated_4D_Reform,2030,6,35.66,33.33,37.75,0.0,0.0,0.0
Integrated_4D_Reform,2031,7,37.55,35.14,39.74,0.0,0.0,0.0
Integrated_4D_Reform,2032,8,39.37,36.93,41.61,0.0,0.0,0.0
Integrated_4D_Reform,2033,9,41.14,38.63,43.46,0.0,0.0,0.0
Integrated_4D_Reform,2034,10,42.86,40.3,45.24,0.0,0.0,0.0
Integrated_4D_Reform,2035,11,44.53,41.9,46.99,0.0,0.0,0.0
Integrated_4D_Reform,2036,12,46.17,43.51,48.69,0.0,0.0,0.0
Integrated_4D_Reform,2037,13,47.77,45.04,50.37,0.0,0.0,0.0
Integrated_4D_Reform,2038,14,49.35,46.58,52.01,0.0,0.0,0.0
Integrated_4D_Reform,2039,15,50.9,48.07,53.61,0.0,0.0,0.0
Integrated_4D_Reform,2040,16,52.41,49.56,55.19,0.0,0.0,0.0
Integrated_4D_Reform,2041,17,53.92,50.97,56.74,0.0,0.0,0.0
Integrated_4D_Reform,2042,18,55.4,52.4,58.29,0.0044,0.0,0.0
Integrated_4D_Reform,2043,19,56.86,53.81,59.81,0.0404,0.0,0.0
Integrated_4D_Reform,2044,20,58.28,55.21,61.3,0.1741,0.0,0.0
