iso,scenario,label,year,h,p05,p25,p50,p75,p95,P_ge_50,P_ge_60
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2024,-2,21.33,21.33,21.33,21.33,21.33,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2025,-1,21.83,21.83,21.83,21.83,21.83,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2026,0,22.46,22.46,22.46,22.46,22.46,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2027,1,22.25,23.01,23.48,23.93,24.53,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2028,2,22.74,23.82,24.42,25.01,25.79,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2029,3,23.38,24.62,25.29,25.96,26.84,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2030,4,24.05,25.38,26.14,26.87,27.85,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2031,5,24.73,26.11,26.96,27.72,28.8,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2032,6,25.41,26.86,27.74,28.55,29.67,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2033,7,26.05,27.53,28.5,29.34,30.51,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2034,8,26.68,28.25,29.22,30.07,31.33,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2035,9,27.35,28.93,29.9,30.79,32.06,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2036,10,28.03,29.54,30.54,31.5,32.77,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2037,11,28.64,30.2,31.2,32.17,33.45,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2038,12,29.17,30.79,31.81,32.78,34.13,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2039,13,29.76,31.36,32.41,33.4,34.71,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2040,14,30.27,31.92,32.96,33.93,35.31,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2041,15,30.81,32.44,33.5,34.48,35.9,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2042,16,31.3,32.95,34.02,35.04,36.45,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2043,17,31.84,33.47,34.56,35.57,37.01,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2044,18,32.32,33.96,35.07,36.08,37.55,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2045,19,32.73,34.42,35.57,36.57,38.07,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2046,20,33.16,34.94,36.03,37.08,38.56,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2024,-2,21.33,21.33,21.33,21.33,21.33,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2025,-1,21.83,21.83,21.83,21.83,21.83,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2026,0,22.46,22.46,22.46,22.46,22.46,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2027,1,20.45,21.39,21.95,22.47,23.18,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2028,2,20.63,22.01,22.85,23.67,24.81,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2029,3,20.9,22.64,23.62,24.54,25.83,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2030,4,21.34,23.17,24.32,25.36,26.82,0.0,0.0
BGD,LDC_Tariff_Shock_2026,LDC Graduation Tariff Cliff (-10% EBA Preferences),2031,5,21.69,23.73,24.94,26.11,27.65,0.0,0.0
