iso,EPI_tiered,EPI_equal,rank_tiered,rank_equal
BGD,21.334503462040313,19.8,16,16
CHN,46.74663312303613,45.39,11,9
DEU,50.34152341518797,46.28,6,8
FRA,45.68027230408858,40.28,12,13
GBR,50.210056207705414,46.3,7,7
IDN,34.197774420053555,34.79,14,14
IND,31.316367516460552,30.63,15,15
JPN,48.86482928050713,44.57,9,10
KOR,63.48783635940845,61.07,2,2
MYS,56.69329305779143,56.49,3,4
NLD,54.241256532313685,51.68,4,5
PHL,42.87791953601569,43.29,13,12
SGP,71.36552526833955,71.07,1,1
THA,48.0107896986751,51.44,10,6
USA,49.58581692022444,44.42,8,11
VNM,54.171018141774994,56.8,5,3
