predictor,pooled_rmse,delta_vs_ar1_direct,h1_rmse
GDP_PC_PPP,2.845556589391373,-0.06192206984617199,2.649234088063515
UNEMPLOYMENT,2.865874560646273,-0.041604098591271566,2.639951417071515
rgdpo,2.885097405852814,-0.022381253384730737,2.7597868451178855
rgdpna,2.8945561301532807,-0.012922529084264056,2.7585638973732025
cgdpo,2.8962399639656957,-0.011238695271849064,2.762738642096439
EXPORT_GROWTH,2.9026210040880946,-0.004857655149450135,2.788317381463959
IMPORT_GROWTH,2.90358093129341,-0.003897727944134566,2.7724798638347603
FDI,2.9154100025729237,0.007931343335378926,2.7507598986065713
INFLATION,2.916509677068273,0.009031017830728238,2.7528474623612738
INVESTMENT,2.9206647431428143,0.013186083905269541,2.755008041039542
RESERVES_MONTHS,2.9216741747846746,0.014195515547129833,2.7606247905244192
CREDIT_PRIVATE,2.923135168401591,0.015656509164046373,2.7818910731356983
EXCHANGE_RATE,2.939310064411682,0.031831405174137295,2.7466628074941077
MANUF_VA,2.94892288896744,0.041444229729895365,2.855849766823548
CURRENT_ACCOUNT,2.956967915160408,0.04948925592286324,2.758501599443698
pop,2.978779441728295,0.07130078249075034,2.7475695304459475
TRADE_OPENNESS,2.9810471085088257,0.07356844927128092,2.7829320914055056
WORLD_GROWTH,2.9850217826596355,0.07754312342209069,2.7651341874036746
POPULATION,2.9878442776671212,0.08036561842957646,2.8368913189877603
WORLD_INFLATION,2.989279304918421,0.0818006456808762,2.804198354803645
LIFE_EXPECTANCY,2.9926031752979063,0.08512451606036153,2.737804335542458
emp,3.0012155717310147,0.09373691249346994,2.7458230260041714
hc,3.012087889634767,0.10460923039722214,2.70865839436865
WORLD_EXPORT_GROWTH,3.0132350859658654,0.10575642672832064,2.838258090111778
ELECTRICITY,3.031538690133954,0.12406003089640905,2.842793265171353
URBAN_SHARE,3.0689470716233975,0.16146841238585274,2.7694022411491153
DEPENDENCY_RATIO,3.0866156642646336,0.17913700502708885,2.790404992105545
GROSS_SAVINGS,3.148326808303934,0.24084814906638918,2.747205687474063
